,overall
6332,65
14577,50
51649,68
72331,64
50631,70
55876,64
65819,72
114691,79
43990,56
101161,70
116576,73
34669,69
57598,62
93205,60
86494,67
96228,84
25689,61
14706,49
73071,64
56729,63
97435,76
97031,77
96810,78
6137,65
20007,68
16743,74
6781,64
115260,76
91825,62
119182,69
121504,67
73456,63
45772,83
80147,76
92023,61
30230,78
9747,61
13298,55
131603,52
49115,72
105619,65
62143,51
83867,70
70615,66
52663,67
68892,68
8699,62
7564,63
107159,64
122897,66
40693,63
131849,51
71507,65
54612,65
71256,66
31895,73
42748,59
49559,71
50956,69
58232,62
64673,74
10737,60
99945,71
77153,57
79905,77
35201,69
116110,74
122430,66
30619,76
117963,71
59870,59
18946,69
55921,64
34918,69
84537,69
85892,68
20502,67
17071,73
122698,66
16321,75
121544,67
31308,75
65911,72
48732,72
18780,70
113495,52
340,79
75453,61
112518,56
62526,84
105921,65
106223,64
64621,74
38595,65
22931,64
92073,61
123908,65
89240,64
101937,69
91009,63
72115,65
78617,51
60122,58
79552,79
14272,52
42750,59
115826,75
73129,64
3362,69
112373,56
23160,64
3471,69
68665,68
35789,68
98969,73
47523,75
37994,66
63880,76
109569,61
23142,64
115601,75
4005,68
29425,88
79843,78
103017,67
19071,69
72564,64
11442,59
80161,76
64245,75
109381,61
112626,55
88645,65
93743,58
110782,59
1783,72
118146,71
131354,53
66156,71
78945,88
46698,77
110965,59
129165,59
131420,53
11708,58
100133,71
86039,67
127901,61
103370,67
131006,55
107496,63
1490,73
79169,82
101584,69
100553,70
116498,73
55663,64
67770,69
115428,76
50672,70
110662,60
28590,54
51888,68
14885,47
132051,49
129786,58
76751,58
35647,68
9143,62
81990,72
62951,79
11227,59
125608,63
90317,63
28915,52
54324,66
31779,74
48558,73
51741,68
121453,67
49496,71
81908,73
95118,55
15539,78
76933,58
97506,76
25832,61
77269,57
58030,62
125911,63
8683,62
106599,64
66529,71
63266,78
31719,74
87731,66
90056,64
45802,83
17862,71
6743,64
49524,71
81138,74
98650,73
78575,51
8833,62
119466,69
105979,65
90592,63
91287,62
50508,70
19788,68
62487,86
93708,59
50834,69
6910,64
86241,67
87420,66
99345,72
27980,56
84375,69
78978,86
37541,66
77383,56
108378,62
102869,68
8114,63
86088,67
120243,68
87786,66
27868,56
42894,59
8727,62
97970,75
10434,60
74160,62
89034,65
128805,60
92854,60
127012,62
108855,62
89808,64
88177,65
43974,56
78473,52
16312,75
80506,75
46343,78
71074,66
893,75
99006,72
91577,62
129582,58
63931,75
89190,64
13546,54
104822,66
82937,71
41364,61
11898,58
72800,64
44775,54
99162,72
61919,52
11419,59
1370,74
72013,65
31616,74
61697,53
86310,67
1981,72
129405,59
260,80
128969,60
131886,51
70793,66
108181,63
131204,54
75228,61
114891,78
76565,59
41474,61
105090,66
99598,72
128938,60
115855,75
104464,66
57615,62
41676,61
49338,71
5514,66
49171,72
5518,66
58134,62
16184,75
3383,69
20716,67
63349,77
88446,65
35997,68
83447,70
39598,64
76379,59
41065,62
22070,65
129839,58
18497,70
43297,58
50317,70
79435,80
52724,67
87070,66
20082,68
125885,63
83343,70
92906,60
47402,75
69484,67
97414,76
117967,71
120997,67
89538,64
129694,58
87722,66
820,76
18260,71
17173,73
96843,78
72752,64
124463,64
105558,65
13137,55
68321,69
73954,63
108014,63
1327,74
79439,80
124645,64
27096,58
76176,59
13069,56
96310,83
34823,69
82232,72
18139,71
4100,68
130988,55
31918,73
66233,71
35261,68
64379,74
23613,64
125684,63
99349,72
62331,49
61645,54
47333,75
123145,66
21498,66
50933,69
91769,62
91716,62
43030,59
87435,66
127637,61
86171,67
108852,62
46401,78
120976,68
33151,71
40545,63
3310,69
93258,59
112820,55
97075,77
118898,70
112985,54
66618,71
67411,70
123611,65
76205,59
97400,76
124056,65
96917,78
70647,66
9941,61
74339,62
130177,57
5826,65
26265,60
127868,61
112634,55
54427,66
60919,56
12103,57
29787,80
95310,54
71081,66
38569,65
92623,60
6678,64
28671,53
20061,68
113491,52
43446,58
129664,58
118082,71
31873,73
94020,58
105515,65
20051,68
52882,67
82007,72
24558,62
130337,57
12051,58
40954,62
101549,69
92448,61
79530,79
25401,61
127296,62
83730,70
21785,66
110681,60
60780,57
27493,57
29799,80
107467,63
37212,66
107688,63
42277,60
123866,65
130775,55
93238,59
34381,70
101063,70
82090,72
121136,67
23825,63
109853,61
29042,51
66161,71
114828,78
43647,57
125769,63
23498,64
80519,75
109787,61
31321,75
99071,72
129251,59
117737,71
60258,58
39042,64
100459,70
98402,74
9218,62
69312,68
48997,72
2573,70
68705,68
71581,65
9482,61
30093,78
115772,75
84867,69
3671,68
101866,69
103365,67
101802,69
101628,69
74130,62
102503,68
23729,64
102572,68
16828,74
56860,63
88998,65
127251,62
131842,51
53946,66
14500,51
81187,74
109460,61
103335,67
19886,68
67301,70
48099,73
59490,60
5147,66
88932,65
100204,71
20717,67
56719,63
55196,65
74368,62
11347,59
46309,78
75020,61
1109,74
18873,70
84348,69
64738,74
38487,65
122598,66
112682,55
41805,61
101481,69
130882,55
64875,73
4192,68
12389,57
82075,72
104926,66
125508,63
46434,78
109287,61
24032,63
82115,72
73985,63
59293,60
16366,75
10312,60
20003,68
116655,73
117621,72
122351,66
47929,74
58905,61
26840,59
95200,54
84910,69
64789,74
9477,61
80691,75
12973,56
88637,65
12418,57
53780,66
22002,66
110976,59
81571,73
119916,69
74995,61
76494,59
8713,62
119863,69
107147,64
122532,66
98153,74
13218,55
112372,56
54098,66
12258,57
42332,60
24169,63
127909,61
66944,70
12612,56
52228,68
91782,62
54890,65
26950,58
7817,63
47518,75
112808,55
80166,76
44931,53
23581,64
23582,64
92612,60
91286,62
33460,71
73811,63
74190,62
100696,70
22976,64
49987,70
23616,64
107650,63
61011,56
3287,69
52513,68
27851,56
13682,54
47286,75
112012,57
7392,64
